award,film,nominee_x,year,genre,win,nominee_y
WRITING (Adapted Screenplay),The Life of Emile Zola,"Norman Reilly Raine, Heinz Herald, Geza Herczeg",1937,M,1.0,
WRITING (Adapted Screenplay),Captains Courageous,"John Lee Mahin, Marc Connelly, Dale Van Every",1937,M,0.0,
WRITING (Adapted Screenplay),Stage Door,"Morris Ryskind, Anthony Veiller",1937,M,0.0,
WRITING (Original Screenplay),A Star Is Born,"William A. Wellman, Robert Carson",1937,M,1.0,
WRITING (Original Screenplay),The Life of Emile Zola,"Heinz Herald, Geza Herczeg",1937,M,0.0,
WRITING (Original Screenplay),In Old Chicago,Niven Busch,1937,M,0.0,
WRITING (Original Screenplay),Black Legion,Robert Lord,1937,M,0.0,
SHORT FILM (Animated),The Old Mill,"Walt Disney, Producer",1937,M,1.0,
SHORT FILM (Animated),The Little Match Girl,"Charles Mintz, Producer",1937,M,0.0,
FILM EDITING,The Awful Truth,Al Clark,1937,M,0.0,
MUSIC (Original Song),"""Whispers In The Dark"" from Artists and Models",Music by Frederick Hollander; Lyrics by Leo Robin,1937,M,0.0,
MUSIC (Original Song),"""They Can't Take That Away From Me"" from Shall We Dance",Music by George Gershwin; Lyrics by Ira Gershwin,1937,M,0.0,
MUSIC (Original Song),"""Sweet Leilani"" from Waikiki Wedding",Music and Lyrics by Harry Owens,1937,M,1.0,
MUSIC (Original Score),Way Out West,"Hal Roach Studio Music Department, Marvin Hatley, head of department (Score by Marvin Hatley)",1937,M,0.0,
DIRECTING,A Star Is Born,William Wellman,1937,M,0.0,
WRITING (Original Screenplay),One Hundred Men and a Girl,Hans Kraly,1937,M,0.0,
CINEMATOGRAPHY,Wings over Honolulu,Joseph Valentine,1937,M,0.0,
CINEMATOGRAPHY,The Good Earth,Karl Freund,1937,M,1.0,
PRODUCTION DESIGN,Wee Willie Winkie,"William S. Darling, David Hall",1937,M,0.0,
WRITING (Adapted Screenplay),The Awful Truth,Vina Delmar,1937,F,0.0,
DIRECTING,Stage Door,Gregory La Cava,1937,M,0.0,
PRODUCTION DESIGN,You're a Sweetheart,Jack Otterson,1937,M,0.0,
CINEMATOGRAPHY,Vivacious Lady,Robert de Grasse,1938,M,0.0,
CINEMATOGRAPHY,Suez,Peverell Marley,1938,M,0.0,
CINEMATOGRAPHY,Merrily We Live,Norbert Brodine,1938,M,0.0,
CINEMATOGRAPHY,Mad about Music,Joseph Valentine,1938,M,0.0,
CINEMATOGRAPHY,Jezebel,Ernest Haller,1938,M,0.0,
CINEMATOGRAPHY,The Great Waltz,Joseph Ruttenberg,1938,M,1.0,
FILM EDITING,Test Pilot,Tom Held,1938,M,0.0,
MUSIC (Original Score),Mad about Music,"Charles Previn, Frank Skinner",1938,M,0.0,
MUSIC (Original Score),Tropic Holiday,Boris Morros,1938,M,0.0,
CINEMATOGRAPHY,You Can't Take It with You,Joseph Walker,1938,M,0.0,
WRITING (Adapted Screenplay),You Can't Take It with You,Robert Riskin,1938,M,0.0,
WRITING (Adapted Screenplay),Pygmalion,"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",1938,M,1.0,
WRITING (Adapted Screenplay),Four Daughters,"Julius J. Epstein, Lenore Coffee",1938,X,0.0,2.0
WRITING (Adapted Screenplay),Boys Town,"John Meehan, Dore Schary",1938,M,0.0,
WRITING (Original Screenplay),Test Pilot,Frank Wead,1938,M,0.0,
WRITING (Original Screenplay),Mad about Music,"Marcella Burke, Frederick Kohner",1938,X,0.0,2.0
WRITING (Original Screenplay),Boys Town,"Dore Schary, Eleanore Griffin",1938,X,1.0,2.0
WRITING (Original Screenplay),Blockade,John Howard Lawson,1938,M,0.0,
MUSIC (Original Score),The Goldwyn Follies,Alfred Newman,1938,M,0.0,
CINEMATOGRAPHY,The Young in Heart,Leon Shamroy,1938,M,0.0,
DIRECTING,Four Daughters,Michael Curtiz,1938,M,0.0,
DIRECTING,The Citadel,King Vidor,1938,M,0.0,
MUSIC (Original Score),Breaking the Ice,Victor Young,1938,M,0.0,
MUSIC (Original Score),Blockade,Werner Janssen,1938,M,0.0,
WRITING (Adapted Screenplay),The Citadel,"Ian Dalrymple, Frank Wead, Elizabeth Hill",1938,X,0.0,2.0
MUSIC (Original Score),Army Girl,Victor Young,1938,M,0.0,
MUSIC (Original Score),The Cowboy and the Lady,Alfred Newman,1938,M,0.0,
MUSIC (Original Score),Block-Heads,Marvin Hatley,1938,M,0.0,
MUSIC (Original Score),If I Were King,Richard Hageman,1938,M,0.0,
MUSIC (Original Score),Carefree,Victor Baravalle,1938,M,0.0,
MUSIC (Original Score),Girls' School,"Morris Stoloff, Gregory Stone",1938,M,0.0,
MUSIC (Original Score),Pacific Liner,Russell Bennett,1938,M,0.0,
MUSIC (Original Score),The Young in Heart,Franz Waxman,1938,X,0.0,2.0
MUSIC (Original Score),Alexander's Ragtime Band,Alfred Newman,1938,M,1.0,
MUSIC (Original Score),The Adventures of Robin Hood,Erich Wolfgang Korngold,1938,M,1.0,
MUSIC (Original Score),Marie Antoinette,Herbert Stothart,1938,M,0.0,
DIRECTING,Boys Town,Norman Taurog,1938,M,0.0,
FILM EDITING,The Great Waltz,Tom Held,1938,M,0.0,
FILM EDITING,The Adventures of Robin Hood,Ralph Dawson,1938,M,1.0,
DIRECTING,You Can't Take It with You,Frank Capra,1938,M,1.0,
MUSIC (Original Score),Suez,Louis Silvers,1938,M,0.0,
FILM EDITING,You Can't Take It with You,Gene Havlick,1938,M,0.0,
WRITING (Original Screenplay),Angels with Dirty Faces,Rowland Brown,1938,M,0.0,
SHORT FILM (Animated),Good Scouts,"Walt Disney, Producer",1938,M,0.0,
CINEMATOGRAPHY,Algiers,James Wong Howe,1938,M,0.0,
PRODUCTION DESIGN,Marie Antoinette,Cedric Gibbons,1938,M,0.0,
PRODUCTION DESIGN,Mad about Music,Jack Otterson,1938,M,0.0,
PRODUCTION DESIGN,If I Were King,"Hans Dreier, John Goodman",1938,M,0.0,
PRODUCTION DESIGN,Holiday,"Stephen Goosson, Lionel Banks",1938,M,0.0,
PRODUCTION DESIGN,Carefree,Van Nest Polglase,1938,M,0.0,
PRODUCTION DESIGN,Algiers,Alexander Toluboff,1938,M,0.0,
PRODUCTION DESIGN,The Adventures of Tom Sawyer,Lyle Wheeler,1938,M,0.0,
PRODUCTION DESIGN,Alexander's Ragtime Band,"Bernard Herzbrun, Boris Leven",1938,M,0.0,
PRODUCTION DESIGN,The Adventures of Robin Hood,Carl J. Weyl,1938,M,1.0,
PRODUCTION DESIGN,The Goldwyn Follies,Richard Day,1938,M,0.0,
FILM EDITING,Alexander's Ragtime Band,Barbara McLean,1938,F,0.0,
SHORT FILM (Animated),Ferdinand the Bull,"Walt Disney, Producer",1938,M,1.0,
SHORT FILM (Animated),Brave Little Tailor,"Walt Disney, Producer",1938,M,0.0,
MUSIC (Original Song),"""Thanks For The Memory"" from The Big Broadcast of 1938",Music by Ralph Rainger; Lyrics by Leo Robin,1938,M,1.0,
MUSIC (Original Song),"""Now It Can Be Told"" from Alexander's Ragtime Band",Music and Lyrics by Irving Berlin,1938,M,0.0,
MUSIC (Original Song),"""My Own"" from That Certain Age",Music by Jimmy McHugh; Lyrics by Harold Adamson,1938,M,0.0,
